"field_kOe","time_ps","signal"
10,55.93846,0.0203741
10,56.20577,0.0191421
10,56.47308,0.0255136
10,56.74039,0.021475
10,57.0077,0.0199112
10,57.27502,0.017799
10,57.54233,0.0181659
10,57.80964,0.0180616
10,58.07695,0.0173719
10,58.34426,0.0197161
10,58.61157,0.0184601
10,58.87888,0.0161365
10,59.14619,0.0185892
10,59.4135,0.0187253
10,59.68081,0.0173968
10,59.94812,0.0142936
10,60.21544,0.0196347
10,60.48275,0.0164755
10,60.75006,0.0166472
10,61.01737,0.017402
10,61.28468,0.0186922
10,61.55199,0.0155
10,61.8193,0.0203958
10,62.08661,0.0184958
10,62.35392,0.016787
10,62.62124,0.0204932
10,62.88855,0.0177912
10,63.15586,0.0198376
10,63.42317,0.0187852
10,63.69048,0.0217934
10,63.95779,0.0173582
10,64.2251,0.015844
10,64.49241,0.0158046
10,64.75972,0.0185079
10,65.02703,0.0187264
10,65.29435,0.0198713
10,65.56166,0.0213978
10,65.82897,0.0146124
10,66.09628,0.0116957
10,66.36359,0.0125788
10,66.6309,0.00745071
10,66.89821,0.00608321
10,67.16552,0.00627137
10,67.43283,0.0116271
10,67.70014,0.010863
10,67.96746,0.00897058
10,68.23477,0.012336
10,68.50208,0.00827994
10,68.76939,0.00583131
10,69.0367,0.00565657
10,69.30401,0.005079
10,69.57132,0.00826222
10,69.83863,0.00424472
10,70.10594,0.00328141
10,70.37325,0.00636234
10,70.64056,0.00449597
10,70.90788,0.00221272
10,71.17519,0.00315744
10,71.4425,0.00824182
10,71.70981,0.00424088
10,71.97712,0.00171421
10,72.24443,0.00246692
10,72.51174,0.00606562
10,72.77905,0.00320554
10,73.04636,0.00395137
10,73.31368,0.00341186
10,73.58099,0.00357127
10,73.8483,0.00269739
10,74.11561,0.00278717
10,74.38292,0.000200979
10,74.65023,-0.00348327
10,74.91754,0.0017852
10,75.18485,0.00163525
10,75.45216,0.00179102
10,75.71947,0.00527402
10,75.98678,0.00492029
10,76.2541,0.00725559
10,76.52141,0.00374369
10,76.78872,0.00576531
10,77.05603,0.00285625
10,77.32334,-0.00455074
14,-1.759225,0.0048878
14,-1.491792,-0.0027355
14,-1.224359,0.000450983
14,-0.956926,0.00482834
14,-0.689493,0.0173506
14,-0.42206,0.0378495
14,-0.154627,0.0959492
14,0.112806,0.229339
14,0.380239,0.472304
14,0.647672,0.782021
14,0.915105,1.00002
14,1.182538,0.999696
14,1.449971,0.940002
14,1.717404,0.857496
14,1.984837,0.76435
14,2.25227,0.693371
14,2.519703,0.644271
14,2.787136,0.608193
14,3.054569,0.58017
14,3.322002,0.549572
14,3.589435,0.516322
14,3.856868,0.489063
14,4.124301,0.465236
14,4.391734,0.453985
14,4.659167,0.43623
14,4.9266,0.421991
14,5.194033,0.410096
14,5.461466,0.394192
14,5.728899,0.378371
14,5.996332,0.362139
14,6.263765,0.349293
14,6.531198,0.334803
14,6.798631,0.319358
14,7.066064,0.306563
14,7.333497,0.300587
14,7.60093,0.297175
14,7.868363,0.287452
14,8.135796,0.284739
14,8.403229,0.272914
14,8.670662,0.263987
14,8.938095,0.257339
14,9.205528,0.252716
14,9.472961,0.246169
14,9.740394,0.245924
14,10.00783,0.238085
14,10.27526,0.23126
14,10.54269,0.22999
14,10.81013,0.223908
14,11.07756,0.218657
14,11.34499,0.20883
14,11.61242,0.205169
14,11.87986,0.194801
14,12.14729,0.186209
14,12.41472,0.175535
14,12.68216,0.16668
14,12.94959,0.155647
14,13.21702,0.146304
14,13.48446,0.14383
14,13.75189,0.13047
14,14.01932,0.126027
14,14.28676,0.122519
14,14.55419,0.123192
14,14.82162,0.111203
14,15.08905,0.113181
14,15.35649,0.110748
14,15.62392,0.113051
14,15.89135,0.107069
14,16.15879,0.102944
14,16.42622,0.0952654
14,16.69365,0.0943788
14,16.96108,0.0850987
14,17.22852,0.0863097
14,17.49595,0.077077
14,17.76338,0.0780156
14,18.03082,0.0694689
14,18.29825,0.0673523
14,18.56568,0.0702653
14,18.83312,0.0650188
14,19.10055,0.0558522
14,19.36798,0.0554026
14,19.63541,0.0546657
14,19.90285,0.052051
14,20.17028,0.0532049
14,20.43771,0.0494906
14,20.70515,0.0531777
14,20.97258,0.0529701
14,21.24001,0.0558919
14,21.50745,0.0504037
14,21.77488,0.0550891
14,22.04231,0.0521715
14,22.30974,0.0553871
14,22.57718,0.0581012
14,22.84461,0.0515029
14,23.11204,0.0519344
14,23.37948,0.0501499
14,23.64691,0.0516644
14,23.91434,0.0489218
14,24.18178,0.0573578
14,24.44921,0.0622394
14,24.71664,0.0744752
14,24.98408,0.0705508
14,25.25151,0.0572503
14,25.51894,0.0573258
14,25.78637,0.0569848
14,26.05381,0.0587884
14,26.32124,0.0575224
14,26.58867,0.0596154
14,26.85611,0.0633464
14,27.12354,0.0621773
14,27.39097,0.0583231
14,27.6584,0.0600778
14,27.92584,0.0547598
14,28.19327,0.0576212
14,28.4607,0.0574214
14,28.72814,0.0590654
14,28.99557,0.0558403
14,29.263,0.0559497
14,29.53044,0.0511633
14,29.79787,0.0498154
14,30.0653,0.0498118
14,30.33274,0.0475131
14,30.60017,0.0485379
14,30.8676,0.0471787
14,31.13503,0.0434277
14,31.40247,0.0438662
14,31.6699,0.0477584
14,31.93733,0.0487737
14,32.20477,0.0491843
14,32.4722,0.0428476
14,32.73963,0.0416827
14,33.00706,0.0425735
14,33.2745,0.041292
14,33.54193,0.0458382
14,33.80936,0.0286071
14,34.0768,0.0154476
14,34.34423,0.0194025
14,34.61166,0.0179772
14,34.8791,0.0163144
14,35.14653,0.0141526
14,35.41396,0.0237791
14,35.6814,0.0248715
14,35.94883,0.0256452
14,36.21626,0.028015
14,36.48369,0.0292071
14,36.75113,0.0288875
14,37.01856,0.0180012
14,37.28599,0.0204088
14,37.55343,0.0201343
14,37.82086,0.0141405
14,38.08829,0.0105162
14,38.35572,0.0111319
14,38.62316,0.0152651
14,38.89059,0.0166053
14,39.15802,0.0145075
14,39.42546,0.0132149
14,39.69289,0.0134524
14,39.96032,0.0124835
14,40.22776,0.01043
14,40.49519,0.0166723
14,40.76262,0.0166834
14,41.03005,0.0145421
14,41.29749,0.0169226
14,41.56492,0.0151045
14,41.83235,0.0163202
14,42.09979,0.0137499
14,42.36722,0.0199587
14,42.63465,0.0256074
14,42.90209,0.0235574
14,43.16952,0.0191207
14,43.43695,0.0250115
14,43.70438,0.0175842
14,43.97182,0.0184682
14,44.23925,0.0231687
14,44.50668,0.0249995
14,44.77412,0.020045
14,45.04155,0.0170101
14,45.30898,0.0196224
14,45.57642,0.026741
14,45.84385,0.0235367
14,46.11128,0.0260662
14,46.37872,0.0257729
14,46.64615,0.0223986
14,46.91358,0.0245518
14,47.18101,0.0209273
14,47.44845,0.0218912
14,47.71588,0.0217908
14,47.98331,0.0273034
14,48.25075,0.0229327
14,48.51818,0.0209379
14,48.78561,0.0216987
14,49.05304,0.0224682
14,49.32048,0.0184313
14,49.58791,0.021715
14,49.85534,0.0221233
14,50.12278,0.0155422
14,50.39021,0.0185454
14,50.65764,0.0185487
14,50.92508,0.0146753
14,51.19251,0.0205437
14,51.45994,0.0176332
14,51.72738,0.016816
14,51.99481,0.0137272
14,52.26224,0.0125322
14,52.52967,0.0102362
14,52.79711,0.0081387
14,53.06454,0.0127338
14,53.33197,0.00764629
14,53.59941,-0.00104484
14,53.86684,0.0109457
14,54.13427,0.00999232
14,54.4017,0.00966723
14,54.66914,0.0117687
14,54.93657,0.00631679
14,55.204,0.000410696
14,55.47144,-0.0011099
14,55.73887,0.00174361
14,56.0063,0.000374006
14,56.27374,0.00272372
14,56.54117,0.00900069
14,56.8086,0.00448942
14,57.07604,0.00319161
14,57.34347,0.00737245
14,57.6109,0.00788931
14,57.87833,0.00124546
14,58.14577,-0.00166351
14,58.4132,0.0090605
15,-1.759225,0.000889154
15,-1.491792,-0.000566053
15,-1.224359,0.00105657
15,-0.956926,0.00505319
15,-0.689493,0.00916545
15,-0.42206,0.046541
15,-0.154627,0.14687
15,0.112806,0.328702
15,0.380239,0.597456
15,0.647672,0.880312
15,0.915105,1.00003
15,1.182538,0.958832
15,1.449971,0.887198
15,1.717404,0.799193
15,1.984837,0.708532
15,2.25227,0.64311
15,2.519703,0.592819
15,2.787136,0.560938
15,3.054569,0.525318
15,3.322002,0.495271
15,3.589435,0.462436
15,3.856868,0.438325
15,4.124301,0.420561
15,4.391734,0.402372
15,4.659167,0.389122
15,4.9266,0.376196
15,5.194033,0.362408
15,5.461466,0.348485
15,5.728899,0.336838
15,5.996332,0.323682
15,6.263765,0.312513
15,6.531198,0.298017
15,6.798631,0.286193
15,7.066064,0.274168
15,7.333497,0.266393
15,7.60093,0.26424
15,7.868363,0.25922
15,8.135796,0.248578
15,8.403229,0.240089
15,8.670662,0.231847
15,8.938095,0.223021
15,9.205528,0.216132
15,9.472961,0.207654
15,9.740394,0.205842
15,10.00783,0.203509
15,10.27526,0.20534
15,10.54269,0.196513
15,10.81013,0.186893
15,11.07756,0.183199
15,11.34499,0.177475
15,11.61242,0.169296
15,11.87986,0.163835
15,12.14729,0.15455
15,12.41472,0.144819
15,12.68216,0.132033
15,12.94959,0.129362
15,13.21702,0.119642
15,13.48446,0.114209
15,13.75189,0.105556
15,14.01932,0.102661
15,14.28676,0.0982999
15,14.55419,0.094515
15,14.82162,0.0958337
15,15.08905,0.0903662
15,15.35649,0.0851747
